ws,an,gb,Emax_alpha,Wmax_alpha,Pavgmax_alpha,HBavg_alpha,IEavg_alpha,PavgW_alpha,costh_alpha
1.0,-1,0.00,1.064728,1.317577,1.664896,2.330147,1.754754,1.664896,-0.305697
1.0,-1,0.10,1.152326,1.383258,1.664219,2.474207,1.739751,1.664219,-0.305937
1.0,-1,0.20,1.250951,1.362298,1.663488,2.421353,1.744342,1.663488,-0.305231
1.0,-1,0.30,1.317089,1.379981,1.668804,2.402644,1.728456,1.668804,-0.303558
1.0,-1,0.40,1.220794,1.405266,1.692559,2.310747,1.753982,1.692559,-0.298385
1.0,-1,0.50,0.737965,1.526802,1.750499,2.506616,1.750072,1.750499,-0.290068
1.0,-1,0.60,0.642496,1.665935,1.846043,2.830283,1.749331,1.846043,-0.282201
1.0,-1,0.70,0.504624,1.653657,1.957635,2.653487,1.853674,1.957635,-0.270213
1.0,-1,0.80,0.474564,1.698509,2.035302,2.678640,1.953944,2.035302,-0.251335
1.0,-1,0.90,1.083885,1.656241,2.054534,2.597142,2.020525,2.054534,-0.228035
1.0,-1,1.00,1.303896,1.561111,2.030726,2.486356,2.054546,2.030726,-0.202916
1.0,-1,1.10,1.255533,1.470289,1.990558,2.393034,2.064946,1.990558,-0.175945
1.0,-1,1.20,1.313699,1.388470,1.949772,2.303748,2.063783,1.949772,-0.151995
1.0,-1,1.30,1.266086,1.341269,1.914203,2.269698,2.053318,1.914203,-0.132347
1.0,-1,1.40,1.230027,1.292352,1.884658,2.207154,2.042078,1.884658,-0.115301
1.0,-1,1.50,1.202581,1.267293,1.860790,2.185485,2.026461,1.860790,-0.103957
1.0,-1,1.60,1.181537,1.218909,1.841404,2.111755,2.015540,1.841404,-0.093400
1.0,-1,1.70,1.165472,1.206404,1.825739,2.096523,1.999578,1.825739,-0.087545
1.0,-1,1.80,1.152958,1.182810,1.812747,2.060595,1.986281,1.812747,-0.084690
1.0,-1,1.90,1.143290,1.163913,1.802083,2.027506,1.973767,1.802083,-0.087719
1.0,-1,2.00,1.135804,1.158820,1.793022,2.023142,1.958643,1.793022,-0.093400
1.0,-0.75,0.00,1.064728,1.317577,1.664896,2.330147,1.754754,1.664896,-0.305697
1.0,-0.75,0.10,1.131453,1.366308,1.664376,2.431677,1.744375,1.664376,-0.305964
1.0,-0.75,0.20,1.226883,1.319133,1.663561,2.337582,1.754600,1.663561,-0.305589
1.0,-0.75,0.30,1.302361,1.343570,1.665549,2.374889,1.741246,1.665549,-0.304368
1.0,-0.75,0.40,1.317057,1.344957,1.677192,2.263943,1.750220,1.677192,-0.301258
1.0,-0.75,0.50,1.134994,1.489520,1.708466,2.440894,1.740355,1.708466,-0.294306
1.0,-0.75,0.60,0.671534,1.613021,1.768742,2.728947,1.725069,1.768742,-0.289123
1.0,-0.75,0.70,0.623531,1.627012,1.855664,2.743236,1.771768,1.855664,-0.280572
1.0,-0.75,0.80,0.496874,1.627775,1.951566,2.602352,1.860270,1.951566,-0.270082
1.0,-0.75,0.90,0.431364,1.701538,2.021992,2.699031,1.941365,2.021992,-0.254276
1.0,-0.75,1.00,0.779888,1.663464,2.048252,2.609548,2.009738,2.048252,-0.235571
1.0,-0.75,1.10,1.362851,1.600667,2.036517,2.538013,2.046098,2.036517,-0.213225
1.0,-0.75,1.20,1.245106,1.522827,2.005228,2.464944,2.062170,2.005228,-0.190467
1.0,-0.75,1.30,1.292558,1.425528,1.968287,2.344361,2.068604,1.968287,-0.168797
1.0,-0.75,1.40,1.297846,1.371345,1.933356,2.298119,2.063673,1.933356,-0.148945
1.0,-0.75,1.50,1.257968,1.332036,1.902566,2.266834,2.053659,1.902566,-0.131265
1.0,-0.75,1.60,1.226518,1.275298,1.876121,2.189573,2.045448,1.876121,-0.117272
1.0,-0.75,1.70,1.201636,1.260894,1.853843,2.178865,2.030898,1.853843,-0.104299
