ws,an,gb,Emax_alpha,Wmax_alpha,Pavgmax_alpha,HBavg_alpha,IEavg_alpha,PavgW_alpha,costh_alpha
0.0,-1,0.00,0.999949,1.062602,1.497130,1.962042,1.792733,1.497130,-0.300931
0.0,-1,0.10,1.000054,1.062753,1.497272,1.962164,1.792835,1.497272,-0.300924
0.0,-1,0.20,1.001608,1.070405,1.499377,1.976907,1.791722,1.499377,-0.299645
0.0,-1,0.30,1.007775,1.074297,1.508143,1.970906,1.800911,1.508143,-0.298093
0.0,-1,0.40,1.020681,1.096258,1.528991,1.990000,1.816643,1.528991,-0.296499
0.0,-1,0.50,1.036473,1.133778,1.562853,2.029051,1.842696,1.562853,-0.292046
0.0,-1,0.60,1.046424,1.151834,1.603174,2.032119,1.886043,1.603174,-0.284098
0.0,-1,0.70,1.047445,1.118734,1.640494,1.966068,1.942990,1.640494,-0.273464
0.0,-1,0.80,1.043056,1.097820,1.669865,1.932123,1.984656,1.669865,-0.260856
0.0,-1,0.90,1.036739,1.076945,1.690921,1.911307,2.011939,1.690921,-0.248034
0.0,-1,1.00,1.030896,1.061500,1.705623,1.903760,2.026161,1.705623,-0.236092
0.0,-1,1.10,1.025980,1.077413,1.715863,1.947803,2.024720,1.715863,-0.224610
0.0,-1,1.20,1.021940,1.033776,1.723078,1.883906,2.033561,1.723078,-0.214571
0.0,-1,1.30,1.018754,1.081260,1.728112,1.972976,2.017622,1.728112,-0.206016
0.0,-1,1.40,1.016228,1.035659,1.731788,1.899734,2.021710,1.731788,-0.199035
0.0,-1,1.50,1.014234,1.048766,1.734819,1.927137,2.010919,1.734819,-0.192797
0.0,-1,1.60,1.012527,1.065744,1.736803,1.950462,2.000222,1.736803,-0.188533
0.0,-1,1.70,1.011248,1.043842,1.738287,1.913740,1.996650,1.738287,-0.185171
0.0,-1,1.80,1.010225,1.012616,1.739825,1.863704,1.994397,1.739825,-0.182610
0.0,-1,1.90,1.009439,1.013004,1.741148,1.863472,1.985350,1.741148,-0.180567
0.0,-1,2.00,1.008964,1.047047,1.742077,1.911134,1.970221,1.742077,-0.179681
0.1,-1,0.00,1.004213,1.065194,1.499714,1.964306,1.792758,1.499714,-0.289509
0.1,-1,0.10,1.004288,1.065337,1.499841,1.964375,1.792680,1.499841,-0.289493
0.1,-1,0.20,1.005798,1.067582,1.501944,1.966105,1.793661,1.501944,-0.289301
0.1,-1,0.30,1.012309,1.077097,1.510930,1.973874,1.799245,1.510930,-0.288626
0.1,-1,0.40,1.026664,1.100074,1.532748,1.993280,1.814310,1.532748,-0.286849
0.1,-1,0.50,1.044776,1.123398,1.569023,1.995832,1.848336,1.569023,-0.280752
0.1,-1,0.60,1.056149,1.138319,1.612633,1.984580,1.896554,1.612633,-0.272625
0.1,-1,0.70,1.055911,1.114012,1.652385,1.935558,1.953196,1.652385,-0.260841
0.1,-1,0.80,1.048534,1.087325,1.682032,1.905273,1.996582,1.682032,-0.247216
0.1,-1,0.90,1.039572,1.104227,1.701950,1.954498,2.012858,1.701950,-0.232536
0.1,-1,1.00,1.031626,1.070258,1.714793,1.920829,2.031933,1.714793,-0.218999
0.1,-1,1.10,1.025295,1.071054,1.722998,1.938103,2.033860,1.722998,-0.206600
0.1,-1,1.20,1.020366,1.046235,1.728244,1.904819,2.037631,1.728244,-0.195995
0.1,-1,1.30,1.016647,1.070797,1.731528,1.957635,2.025362,1.731528,-0.187218
0.1,-1,1.40,1.013787,1.039222,1.733740,1.916150,2.024424,1.733740,-0.180119
0.1,-1,1.50,1.011593,1.044848,1.735494,1.924132,2.015081,1.735494,-0.174026
0.1,-1,1.60,1.009964,1.051386,1.736424,1.931556,2.005377,1.736424,-0.170081
0.1,-1,1.70,1.008821,1.041269,1.737278,1.915507,1.998481,1.737278,-0.167492
0.1,-1,1.80,1.007925,1.032715,1.737919,1.902033,1.990705,1.737919,-0.165557
0.1,-1,1.90,1.007534,1.016786,1.738525,1.872193,1.984807,1.738525,-0.163806
0.1,-1,2.00,1.007321,1.043361,1.739078,1.908153,1.970162,1.739078,-0.163455
0.2,-1,0.00,1.016324,1.073735,1.507495,1.974091,1.792362,1.507495,-0.282713
0.2,-1,0.10,1.016603,1.088466,1.507689,2.005024,1.785852,1.507689,-0.282689
0.2,-1,0.20,1.017865,1.075899,1.509733,1.975804,1.792278,1.509733,-0.282546
